genome_id	genome_name	taxonomy
1089550.3	Salisaeta longa DSM 21114	Salisaeta, Salisaetaceae, Rhodothermales, Rhodothermia, Rhodothermaeota, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms
1089552.3	Rhodovibrio salinarum DSM 9154	Rhodovibrio, Rhodovibrionaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1089553.3	Thermacetogenium phaeum DSM 12270	Thermacetogenium, Thermoanaerobacteraceae, Thermoanaerobacterales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1090615.3	Nakamurella panacisegetis strain P4-7,KCTC 19426,CECT 7604	Nakamurella, Nakamurellaceae, Nakamurellales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1094980.5	Methanolobus psychrophilus R15	Methanolobus, Methanosarcinaceae, Methanosarcinales, Methanomicrobia, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms
1095025.3	Demequina flava strain NBRC 105854	Demequina, Demequinaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1095772.3	Sanguibacter sp. JC301	Timonella, Micrococcales incertae sedis, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1095777.3	Texcoconibacillus texcoconensis strain DSM 24696	Texcoconibacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1096341.3	Fonticella tunisiensis strain DSM 24455	Fonticella, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1096856.3	Pseudonocardia sp. EC080619-01	Pseudonocardia, Pseudonocardiaceae, Pseudonocardiales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1096930.3	Novosphingobium lindaniclasticum LE124	Novosphingobium, Sphingomonadaceae, Sphingomonadales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1098.9	Prosthecochloris vibrioformis strain M55B161	Prosthecochloris, Chlorobiaceae, Chlorobiales, Chlorobia, Chlorobi, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms
110319.3	Nocardioides sp. CF8	Nocardioides, Nocardioidaceae, Propionibacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1104576.4	Candidatus Iainarchaeum andersonii SCGC AAA011-E11	Candidatus Iainarchaeum, Candidatus Diapherotrites, DPANN group, Archaea, cellular organisms
1104780.5	Sphingosinicella sp. YJ22	Sphingosinicella, Sphingosinicellaceae, Sphingomonadales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
110935.6	Agreia bicolorata strain VKM Ac-1804	Agreia, Microbacteriaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1110502.3	Tistrella mobilis KA081020-065	Tistrella, Rhodospirillaceae, Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1110509.7	Methanosaeta harundinacea 6Ac	Methanothrix, Methanotrichaceae, Methanotrichales, Methanomicrobia, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms
1111134.3	Clostridiales bacterium BV3C26	Peptoniphilus, Peptoniphilaceae, Tissierellales, Tissierellia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1111732.3	Ignatzschineria larvae DSM 13226	Ignatzschineria, Gammaproteobacteria incertae sedis, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1111738.3	Thermocrispum agreste DSM 44070	Thermocrispum, Pseudonocardiaceae, Pseudonocardiales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
111780.3	Stanieria cyanosphaera PCC 7437	Stanieria, Dermocarpellaceae, Pleurocapsales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms
1118060.3	Coriobacteriaceae bacterium phI	Enorma, Coriobacteriaceae, Coriobacteriales, Coriobacteriia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1118062.3	Peptostreptococcaceae bacterium ph1	Peptoniphilus, Peptoniphilaceae, Tissierellales, Tissierellia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1118964.8	Mycoplasma hyorhinis SK76	Mesomycoplasma, Mycoplasmataceae, Mycoplasmatales, Mollicutes, Tenericutes, Terrabacteria group, Bacteria, cellular organisms
1120945.3	Actinomyces neuii subsp. neuii DSM 8576	Winkia, Actinomycetaceae, Actinomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1120948.3	Actinomycetospora chiangmaiensis DSM 45062	Actinomycetospora, Pseudonocardiaceae, Pseudonocardiales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1120954.3	Aestuariimicrobium kwangyangense DSM 21549	Aestuariimicrobium, Propionibacteriaceae, Propionibacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1120956.3	Afifella pfennigii DSM 17143	Afifella, Afifellaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1120960.3	Agromyces subbeticus DSM 16689	Agromyces, Microbacteriaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1120961.3	Ahrensia kielensis DSM 5890	Ahrensia, Ahrensiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1120975.4	Alkalibacter saccharofermentans DSM 14828	Alkalibacter, Eubacteriaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1120978.3	Allofustis seminis DSM 15817	Allofustis, Carnobacteriaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1120989.3	Anaerobranca californiensis DSM 14826	Anaerobranca, Proteinivoraceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1121013.3	Arenimonas composti DSM 18010	Arenimonas, Xanthomonadaceae, Xanthomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1121019.4	Arthrobacter castelli DSM 16402	Arthrobacter, Micrococcaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1121020.3	Arthrobacter sanguinis DSM 21259	Haematomicrobium, Micrococcaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1121025.4	Atopostipes suicloacalis DSM 15692	Atopostipes, Carnobacteriaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1121103.3	Balneatrix alpica DSM 16621	Balneatrix, Balneatrichaceae, Oceanospirillales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1121105.4	Bavariicoccus seileri DSM 19936	Bavariicoccus, Enterococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1121118.3	Brackiella oedipodis DSM 13743	Brackiella, Alcaligenaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1121122.3	Brevibacterium album DSM 18261	Brevibacterium, Brevibacteriaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1121123.3	Brevundimonas aveniformis DSM 17977	Brevundimonas, Caulobacteraceae, Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1121266.3	Caminicella sporogenes DSM 14501	Caminicella, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1121272.3	Catelliglobosispora koreensis DSM 44566	Catelliglobosispora, Micromonosporaceae, Micromonosporales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1121278.3	Chitinimonas koreensis DSM 17726	Chitinimonas, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1121290.3	Clostridium acetireducens DSM 10703	Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1121293.3	Clostridium akagii DSM 12554	Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1121307.3	Clostridium cylindrosporum DSM 605	Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1121328.3	"[Clostridium] paradoxum JW-YL-7 = DSM 7308"	Peptostreptococcaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1121331.3	Clostridium proteolyticum DSM 3090	Hathewaya, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1121354.3	Corynebacterium capitovis DSM 44611	Corynebacterium, Corynebacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1121370.3	Corynebacterium ulceribovis DSM 45146	Corynebacterium, Corynebacteriaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1121372.3	Curtobacterium ginsengisoli DSM 22003	Gryllotalpicola, Microbacteriaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1121382.3	Deinococcus misasensis DSM 22328	Deinococcus, Deinococcaceae, Deinococcales, Deinococci, Deinococcus-Thermus, Terrabacteria group, Bacteria, cellular organisms
1121385.3	Demetria terragena DSM 11295	Demetria, Dermacoccaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1121387.3	Dermatophilus congolensis DSM 44180 = NBRC 105199	Dermatophilus, Dermatophilaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1121388.4	Derxia gummosa DSM 723	Derxia, Alcaligenaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1121390.3	Desulfacinum hydrothermale DSM 13146 strain DSM 13146	Desulfacinum, Syntrophobacteraceae, Syntrophobacterales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1121402.3	Desulfobulbus elongatus DSM 2908	Desulfobulbus, Desulfobulbaceae, Desulfobacterales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1121413.3	Desulfonatronovibrio hydrogenovorans DSM 9292	Desulfonatronovibrio, Desulfohalobiaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1121423.4	Desulfotomaculum alkaliphilum DSM 12257	Desulfofalx, Peptococcaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1121433.3	Desulfovermiculus halophilus DSM 18834	Desulfovermiculus, Desulfohalobiaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1121439.3	Desulfovibrio alkalitolerans DSM 16529	Desulfohalovibrio, Desulfovibrionaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1121440.3	Desulfovibrio aminophilus DSM 12254	Desulfovibrio, Desulfovibrionaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1121442.5	Desulfovibrio bizertensis DSM 18034 strain DSM 18034	Paradesulfovibrio, Desulfovibrionaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1121448.7	Desulfovibrio gigas DSM 1382 = ATCC 19364	Megalodesulfovibrio, Desulfovibrionaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1121453.3	Desulfovibrio inopinatus DSM 10711	Desulfovibrio, Desulfovibrionaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1121456.3	Desulfovibrio longus DSM 6739	Paucidesulfovibrio, Desulfovibrionaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1121457.4	Halodesulfovibrio marinisediminis DSM 17456	Halodesulfovibrio, Desulfovibrionaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1121462.3	Desulfovibrio putealis DSM 16056	Fundidesulfovibrio, Desulfovibrionaceae, Desulfovibrionales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms
1121476.3	Dethiosulfatibacter aminovorans DSM 17477	Dethiosulfatibacter, Tissierellia incertae sedis, Tissierellia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1121876.3	Fangia hongkongensis DSM 21703	Fangia, Fastidiosibacteraceae, Thiotrichales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1121877.3	Ferrimicrobium acidiphilum DSM 19497	Ferrimicrobium, Acidimicrobiaceae, Acidimicrobiales, Acidimicrobiia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1121881.3	Ferrithrix thermotolerans DSM 19514 strain DSM 19514	Ferrithrix, Acidimicrobiaceae, Acidimicrobiales, Acidimicrobiia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1121881.44	Ferrithrix thermotolerans DSM 19514 TH-08apr19-218	Ferrithrix, Acidimicrobiaceae, Acidimicrobiales, Acidimicrobiia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1121902.6	Eisenibacter elegans DSM 3317	Eisenibacter, Microscillaceae, Cytophagales, Cytophagia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms
